@Ali Öztürk
CEV XXX,Pazartesi,1030,1230
CEV XXX,Salı,1430,1630
CEV XXX,Çarşamba,1330,1530
CEV XXX,Perşembe,930,1230
CEV XXX,Cuma,1330,1730

@Arzu Hakan
CEV XXX,Salı,1330,1630
CEV XXX,Çarşamba,1030,1230
CEV XXX,Çarşamba,1330,1530
CEV XXX,Cuma,930,1130
CEV XXX,Cuma,1330,1530

@Ayşe Güngör
CEV XXX,Pazartesi,930,1230
CEV XXX,Pazartesi,1330,1530
CEV XXX,Çarşamba,1330,1530
CEV XXX,Çarşamba,930,1230
CEV XXX,Cuma,930,1130

@Cem Cesur
CEV XXX,Pazartesi,1330,1530
CEV XXX,Perşembe,1030,1230
CEV XXX,Perşembe,1430,1630
CEV XXX,Cuma,930,1130
CEV XXX,Cuma,1330,1530

@Mehmet Çelik
CEV XXX,Çarşamba,930,1230
CEV XXX,Çarşamba,1430,1630
CEV XXX,Perşembe,930,1230
CEV XXX,Perşembe,1330,1530
CEV XXX,Cuma,930,1130

@Meral Vardar
CEV XXX,Pazartesi,1130,1330
CEV XXX,Salı,930,1030
CEV XXX,Çarşamba,1030,1230
CEV XXX,Perşembe,1330,1530
CEV XXX,Cuma,930,1230
